path,person,filename,url
ntr/ntr_4.jpeg,ntr,ntr_4.jpeg,https://lk.bookmyshow.com/person/jr-ntr/3469
ntr/ntr_5.jpeg,ntr,ntr_5.jpeg,https://goldhouse.org/people/n-t-rama-rao-jr/
park/park_1.jpg,park,park_1.jpg,https://www.imdb.com/name/nm6124994/
park/park_2.jpeg,park,park_2.jpeg,https://www.instagram.com/p/DULkVI-EUo3/?img_index=4
park/park_3.jpeg,park,park_3.jpeg,https://x.com/melloviciousiu/status/964381169541246978
park/park_4.jpeg,park,park_4.jpeg,https://nationaltoday.com/birthday/park-seo-joon/
park/park_5.jpeg,park,park_5.jpeg,https://www.facebook.com/GiaAllana/posts/park-seo-joon-is-confirmed-as-the-newest-endorser-of-smart-communications-inc-fo/3048325208607383/
patrick/patrick_1.jpeg,patrick,patrick_1.jpeg,https://dexter.fandom.com/wiki/Patrick_Dempsey
patrick/patrick_2.jpeg,patrick,patrick_2.jpeg,https://en.wikipedia.org/wiki/Patrick_Dempsey
patrick/patrick_3.jpeg,patrick,patrick_3.jpeg,https://www.futureofpersonalhealth.com/hospice-care/patrick-dempsey-pushes-to-provide-care-to-cancer-caregivers-and-patients-alike/
patrick/patrick_4.jpeg,patrick,patrick_4.jpeg,https://scream.fandom.com/wiki/Patrick_Dempsey
patrick/patrick_5.jpg,patrick,patrick_5.jpg,https://www.imdb.com/name/nm0001131/
pedro/pedro_1.jpeg,pedro,pedro_1.jpeg,https://www.britannica.com/biography/Pedro-Pascal
pedro/pedro_2.jpeg,pedro,pedro_2.jpeg,https://en.wikipedia.org/wiki/Pedro_Pascal
pedro/pedro_3.jpeg,pedro,pedro_3.jpeg,https://www.broadway.com/buzz/stars/pedro-pascal/profile/
pedro/pedro_4.jpeg,pedro,pedro_4.jpeg,https://www.imdb.com/news/ni63897221/
pedro/pedro_5.jpeg,pedro,pedro_5.jpeg,https://sweet.tv/en/actor/74267-pedro-pascal
rachel/rachel_1.jpg,rachel,rachel_1.jpg,https://www.imdb.com/name/nm1046097/
rachel/rachel_2.jpeg,rachel,rachel_2.jpeg,https://www.britannica.com/biography/Rachel-McAdams
rachel/rachel_3.jpeg,rachel,rachel_3.jpeg,https://www.rottentomatoes.com/celebrity/rachel_mcadams
rachel/rachel_4.jpeg,rachel,rachel_4.jpeg,https://commons.wikimedia.org/wiki/File:Rachel_McAdams_3.jpg
rachel/rachel_5.jpeg,rachel,rachel_5.jpeg,https://br.pinterest.com/pin/pinterest--862087553685674919/
zen/zen_1.jpeg,zen,zen_1.jpeg,https://ast.wikipedia.org/wiki/Zendaya
zen/zen_2.jpeg,zen,zen_2.jpeg,https://www.teenvogue.com/story/zendaya-sarah-shears-hair-color-refresh-fall
zen/zen_3.png,zen,zen_3.png,https://www.gq.com/story/zendaya-euphoria-season-3-one-million-dollars-per-episode-salary
zen/zen_4.jpeg,zen,zen_4.jpeg,https://www.instagram.com/p/DNN06I2sRr0/
zen/zen_5.jpeg,zen,zen_5.jpeg,https://www.vogue.com/article/zendaya-vivienne-westwood-corset
